Name,Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price_euro,Edad
Honda,Mumbai,51920,Petrol,Manual,3,16.8,1497.0,116.3,5.0,4724.32,12
Nissan,Hyderabad,54000,Diesel,Manual,3,13.8432,1461.0,63.1,5.0,4724.32,12
Maruti,Hyderabad,54000,Petrol,Manual,2,20.92,998.0,67.1,5.0,3056.91,11
Honda,Kochi,37430,Petrol,Manual,3,17.5,1199.0,88.7,5.0,11004.89,6
Toyota,Mumbai,262000,Diesel,Manual,0,12.8,2494.0,102.0,7.0,4446.42,17
Renault,Bangalore,62000,Diesel,Manual,3,19.01,1461.0,108.45,5.0,8614.94,11
Toyota,Delhi,87615,Petrol,Manual,3,14.53,1798.0,138.1,5.0,7503.33,12
Mahindra,Bangalore,72000,Diesel,Automatic,2,11.18,2696.0,184.0,7.0,13895.06,11
Audi,Kolkata,35000,Diesel,Automatic,3,12.4,2698.0,179.5,5.0,12783.46,14
Volkswagen,Coimbatore,55431,Petrol,Manual,2,16.09,1598.0,103.5,5.0,7759.0,10
Maruti,Jaipur,83816,Petrol,Manual,2,14.0,1061.0,64.0,5.0,2056.47,15
Maruti,Kochi,50075,Diesel,Manual,3,24.3,1248.0,88.5,5.0,9593.15,6
Mahindra,Delhi,52000,Petrol,Manual,3,18.15,1198.0,82.0,5.0,5391.29,7
Mercedes-Benz,Pune,85000,Diesel,Automatic,3,11.74,2987.0,254.8,5.0,31124.94,11
Volkswagen,Chennai,62000,Diesel,Manual,3,22.07,1199.0,73.9,5.0,5558.03,11
Maruti,Delhi,90000,Petrol,Manual,2,19.7,796.0,46.3,5.0,1389.51,16
Tata,Kochi,19698,Petrol,Manual,3,25.4,624.0,37.5,4.0,1700.76,10
Mahindra,Coimbatore,22033,Diesel,Manual,3,25.32,1198.0,77.0,6.0,6202.76,7
Hyundai,Kochi,35487,Petrol,Manual,3,18.5,1197.0,82.9,5.0,5269.01,10
Hyundai,Bangalore,46374,Petrol,Automatic,3,14.62,1999.0,149.92,5.0,9837.71,10
Toyota,Mumbai,52001,Petrol,Automatic,3,14.28,1798.0,138.03,5.0,11238.33,8
Hyundai,Ahmedabad,58005,Diesel,Manual,2,14.9,1991.0,112.2,5.0,4724.32,16
Toyota,Bangalore,70704,Petrol,Manual,3,11.25,2694.0,163.7,7.0,12172.08,12
Hyundai,Jaipur,75000,Diesel,Manual,3,24.4,1120.0,71.0,5.0,4279.68,10
Mahindra,Jaipur,75800,Diesel,Manual,2,16.55,2498.0,105.0,6.0,6113.83,12
Audi,Kochi,13648,Diesel,Automatic,3,17.11,1968.0,174.33,5.0,23821.7,9
Maruti,Delhi,52000,Diesel,Manual,3,22.9,1248.0,74.0,5.0,4724.32,10
Maruti,Kolkata,53000,Diesel,Manual,3,17.8,1248.0,75.0,5.0,3668.3,10
Maruti,Delhi,65650,Diesel,Manual,3,28.4,1248.0,74.0,5.0,4279.68,11
Hyundai,Chennai,54000,Petrol,Manual,1,18.9,1197.0,82.0,5.0,4001.78,9
Volkswagen,Kolkata,39000,Petrol,Manual,3,15.04,1598.0,103.2,5.0,4435.3,9
Renault,Kochi,16542,Petrol,Manual,3,25.17,799.0,53.3,5.0,3668.3,7
Hyundai,Kolkata,32000,Petrol,Manual,3,20.36,1197.0,78.9,5.0,2301.02,14
Nissan,Hyderabad,121812,Diesel,Automatic,3,7.9716,1995.0,147.6,5.0,8614.94,14
Maruti,Hyderabad,39300,Petrol,Manual,3,18.2,998.0,67.1,5.0,2501.11,14
Toyota,Mumbai,22000,Diesel,Manual,3,13.68,2393.0,147.8,8.0,18341.49,7
Ford,Bangalore,72000,Diesel,Manual,3,20.0,1399.0,68.0,5.0,3056.91,14
Mercedes-Benz,Delhi,58000,Petrol,Automatic,3,11.74,1796.0,186.0,5.0,29679.86,9
Mercedes-Benz,Pune,65000,Diesel,Manual,2,15.8,2148.0,170.0,5.0,11116.05,13
Tata,Chennai,178000,Diesel,Manual,3,25.0,1396.0,69.0,5.0,2779.01,8
Audi,Jaipur,65664,Diesel,Automatic,3,16.55,1968.0,140.0,5.0,15006.67,12
Honda,Mumbai,63000,Petrol,Automatic,2,16.4,1497.0,78.0,5.0,2056.47,17
Mercedes-Benz,Coimbatore,15369,Diesel,Automatic,3,0.0,1950.0,194.0,5.0,39650.96,5
Maruti,Pune,63000,Diesel,Manual,3,24.52,1248.0,88.5,7.0,9059.58,8
Hyundai,Mumbai,13000,Diesel,Manual,3,22.1,1396.0,88.7,5.0,11671.85,6
Porsche,Mumbai,73000,Petrol,Automatic,3,8.5,4806.0,500.0,5.0,16118.27,16
Mahindra,Mumbai,55729,Diesel,Manual,3,15.1,2179.0,140.0,7.0,10726.99,9
Hyundai,Kochi,45178,Petrol,Automatic,3,16.95,1197.0,78.9,5.0,3868.39,12
Nissan,Kochi,56066,Diesel,Manual,3,19.64,1461.0,108.5,5.0,7692.31,9
Honda,Coimbatore,37300,Petrol,Automatic,2,16.5,1198.0,86.8,5.0,7180.97,8
Audi,Delhi,56000,Diesel,Automatic,2,18.53,1968.0,187.74,5.0,32792.35,10
Toyota,Chennai,230000,Petrol,Manual,1,12.4,1998.0,132.0,8.0,5002.22,18
Toyota,Hyderabad,104000,Diesel,Manual,3,12.8,2494.0,102.0,7.0,13061.36,12
Maruti,Jaipur,95100,Diesel,Manual,3,22.9,1248.0,74.0,5.0,4168.52,12
Tata,Pune,70000,Petrol,Manual,3,17.57,1193.0,88.7,5.0,5002.22,7
Honda,Kochi,54944,Petrol,Manual,3,18.0,1198.0,86.7,5.0,5357.94,8
Ford,Hyderabad,70337,Diesel,Manual,3,20.0,1399.0,68.0,5.0,3112.49,12
Maruti,Jaipur,99638,Diesel,Manual,3,23.2,1248.0,73.94,5.0,3457.09,11
Honda,Delhi,52000,Petrol,Manual,3,17.8,1497.0,117.3,5.0,3612.72,15
BMW,Delhi,75000,Diesel,Automatic,2,16.73,1995.0,218.0,5.0,15451.31,13
Hyundai,Pune,95980,Petrol,Manual,3,20.36,1197.0,78.9,5.0,2501.11,15
Hyundai,Bangalore,16000,Petrol,Manual,3,18.9,1197.0,82.0,5.0,6391.73,8
Honda,Mumbai,18949,Petrol,Manual,3,17.8,1198.0,86.7,5.0,5558.03,8
Toyota,Delhi,107000,Diesel,Manual,3,13.0,2982.0,168.5,7.0,18341.49,10
Audi,Coimbatore,48367,Diesel,Automatic,3,17.68,1968.0,174.33,5.0,43997.33,6
Ford,Delhi,57000,Diesel,Manual,3,22.7,1498.0,89.84,5.0,6113.83,11
Mahindra,Delhi,58000,Diesel,Manual,3,15.1,2179.0,140.0,7.0,9004.0,10
Honda,Kolkata,30000,Diesel,Manual,3,25.8,1498.0,98.6,5.0,3890.62,9
Volkswagen,Kolkata,34212,Diesel,Manual,3,22.07,1199.0,73.9,5.0,3101.38,11
Hyundai,Ahmedabad,70002,Diesel,Manual,3,16.2,1493.0,110.0,5.0,3835.04,14
Maruti,Bangalore,62000,Petrol,Manual,3,18.9,998.0,67.1,5.0,4946.64,8
Volkswagen,Delhi,62001,Petrol,Manual,3,15.26,1598.0,103.5,5.0,2945.75,14
Hyundai,Pune,78958,Diesel,Manual,2,23.0,1396.0,90.0,5.0,4224.1,13
Hyundai,Mumbai,30180,Petrol,Manual,3,18.5,1197.0,82.85,5.0,5168.96,10
Datsun,Pune,32851,Petrol,Manual,3,19.83,1198.0,67.0,7.0,4390.84,7
Audi,Kolkata,30000,Diesel,Automatic,3,14.94,2967.0,241.4,5.0,10893.73,14
Hyundai,Pune,66000,Petrol,Manual,2,17.0,1197.0,80.0,5.0,3001.33,15
Maruti,Coimbatore,93850,Petrol,Manual,3,14.0,796.0,35.0,5.0,2678.97,14
Toyota,Ahmedabad,53000,Petrol,Manual,3,17.71,1197.0,78.9,5.0,4335.26,10
Jaguar,Hyderabad,78000,Diesel,Automatic,2,14.74,2993.0,270.9,5.0,26678.52,13
Mahindra,Delhi,65000,Diesel,Manual,2,16.0,2179.0,140.0,7.0,6391.73,12
Hyundai,Kolkata,40000,Diesel,Automatic,3,22.32,1582.0,126.32,5.0,5835.93,10
Toyota,Mumbai,30000,Diesel,Automatic,3,11.36,2755.0,171.5,7.0,21398.4,7
Maruti,Coimbatore,38053,Petrol,Manual,3,15.1,1196.0,73.0,5.0,4346.38,7
Tata,Bangalore,25500,Petrol,Manual,3,25.4,624.0,37.5,4.0,2389.95,10
BMW,Mumbai,56087,Diesel,Automatic,3,22.69,1995.0,190.0,5.0,23065.81,9
Honda,Delhi,71088,Petrol,Manual,3,13.5,1799.0,130.0,5.0,3723.88,14
Toyota,Ahmedabad,55000,Diesel,Manual,3,12.99,2494.0,100.6,7.0,12349.93,10
Volvo,Bangalore,32700,Diesel,Automatic,3,23.3,1984.0,150.0,5.0,22232.1,10
Nissan,Coimbatore,39882,Petrol,Automatic,3,19.15,1198.0,75.94,5.0,7281.01,8
BMW,Mumbai,128000,Petrol,Automatic,3,10.8,2497.0,215.0,5.0,7781.24,15
Maruti,Mumbai,55000,Diesel,Manual,3,24.3,1248.0,88.5,5.0,8337.04,8
Mercedes-Benz,Pune,53753,Diesel,Automatic,2,15.0,2143.0,107.3,5.0,18619.39,10
Hyundai,Kolkata,10250,Diesel,Manual,3,22.0,1582.0,126.2,5.0,12172.08,6
Maruti,Pune,43874,Petrol,Manual,3,18.9,998.0,67.1,5.0,2723.43,13
Tata,Coimbatore,32684,Petrol,Automatic,3,21.9,624.0,37.48,4.0,3590.48,7
Mahindra,Kolkata,42000,Diesel,Manual,3,12.05,2179.0,120.0,8.0,8614.94,10
Mercedes-Benz,Kolkata,28352,Petrol,Automatic,3,11.7,1796.0,178.0,5.0,10393.51,15
Honda,Bangalore,47700,Petrol,Manual,2,10.8,2354.0,152.0,5.0,5835.93,17
Volkswagen,Pune,55000,Diesel,Automatic,3,21.21,1498.0,103.2,5.0,8059.14,9
Maruti,Kochi,44285,Petrol,Manual,3,20.73,1373.0,91.1,5.0,8303.69,7
Mahindra,Jaipur,54000,Diesel,Automatic,3,16.0,2179.0,140.0,7.0,14728.77,8
Maruti,Coimbatore,30232,Petrol,Manual,3,21.1,1197.0,85.8,5.0,6458.43,8
Maruti,Hyderabad,88500,Petrol,Manual,3,24.07,998.0,67.1,5.0,2890.17,10
Mercedes-Benz,Kolkata,13372,Petrol,Automatic,3,19.0,2996.0,362.07,2.0,60026.68,7
Hyundai,Kochi,12645,Petrol,Automatic,3,17.0,1591.0,121.3,5.0,12783.46,5
Maruti,Chennai,94385,Petrol,Manual,2,19.7,796.0,46.3,5.0,1778.57,14
BMW,Coimbatore,31821,Diesel,Automatic,3,20.58,1995.0,143.0,5.0,19141.84,9
Honda,Mumbai,12000,Petrol,Automatic,3,19.0,1199.0,88.7,5.0,6669.63,9
Honda,Delhi,88578,Petrol,Manual,3,13.5,1799.0,130.0,5.0,4390.84,12
Mercedes-Benz,Kochi,44965,Diesel,Automatic,3,19.27,2143.0,170.0,5.0,19953.31,10
Honda,Kolkata,45044,Diesel,Manual,3,25.8,1498.0,98.6,5.0,4112.94,10
Maruti,Kochi,34204,Petrol,Manual,3,22.0,1197.0,81.8,5.0,6036.02,8
Toyota,Coimbatore,91235,Diesel,Manual,3,11.5,2982.0,171.0,7.0,14995.55,12
Chevrolet,Pune,38800,Petrol,Manual,3,18.6,1199.0,76.8,5.0,3168.07,10
Skoda,Chennai,83000,Diesel,Manual,3,21.14,1498.0,103.52,5.0,5280.12,11
Maruti,Kochi,41283,Petrol,Manual,3,20.73,1373.0,91.1,5.0,11004.89,6
Audi,Mumbai,23000,Petrol,Automatic,3,11.05,2894.0,444.0,4.0,41129.39,11
BMW,Mumbai,48000,Diesel,Automatic,3,21.76,1995.0,190.0,5.0,29457.54,10
Audi,Coimbatore,48214,Diesel,Automatic,3,17.11,1968.0,174.33,5.0,25922.63,9
Maruti,Chennai,35000,Diesel,Manual,3,22.9,1248.0,74.0,5.0,6947.53,8
Mercedes-Benz,Kolkata,35277,Petrol,Automatic,3,7.81,5461.0,362.9,5.0,33348.15,14
Skoda,Coimbatore,54620,Diesel,Automatic,3,21.66,1498.0,103.52,5.0,10960.43,8
Skoda,Pune,136997,Diesel,Automatic,3,17.2,1968.0,138.1,5.0,9448.64,12
Hyundai,Kochi,14322,Petrol,Manual,3,21.1,814.0,55.2,5.0,4702.09,5
Volkswagen,Jaipur,65634,Diesel,Manual,3,22.07,1199.0,73.9,5.0,3890.62,12
Datsun,Kolkata,6000,Petrol,Manual,3,20.63,1198.0,67.06,5.0,2779.01,8
Honda,Kolkata,33280,Petrol,Manual,3,19.4,1198.0,86.8,5.0,2656.74,11
Mercedes-Benz,Delhi,29000,Petrol,Automatic,3,14.8,1595.0,120.7,5.0,12505.56,11
Honda,Kochi,42831,Diesel,Manual,3,26.0,1498.0,98.6,5.0,7903.51,9
Toyota,Ahmedabad,90000,Diesel,Manual,3,12.99,2494.0,100.6,7.0,12116.5,8
Maruti,Ahmedabad,24005,Petrol,Manual,3,20.4,1197.0,81.8,5.0,6891.95,7
Mahindra,Mumbai,32792,Diesel,Manual,3,15.1,2179.0,140.0,7.0,8781.68,12
Ford,Kochi,147898,Diesel,Manual,3,22.7,1498.0,89.84,5.0,4913.29,10
Toyota,Mumbai,131765,Diesel,Manual,3,13.0,2982.0,168.5,7.0,15006.67,12
Volkswagen,Chennai,65000,Diesel,Automatic,3,21.5,1498.0,108.5,5.0,6947.53,11
Ford,Jaipur,66123,Diesel,Manual,2,20.0,1399.0,68.0,5.0,2334.37,14
BMW,Mumbai,41000,Diesel,Automatic,3,15.3,2993.0,258.0,5.0,50022.23,9
Mercedes-Benz,Coimbatore,23550,Diesel,Automatic,3,19.27,2143.0,167.62,5.0,37416.63,7
Honda,Bangalore,45000,Petrol,Manual,2,19.4,1198.0,86.8,5.0,4057.36,12
Hyundai,Delhi,60000,Petrol,Manual,3,20.36,1197.0,78.9,5.0,3056.91,11
Mercedes-Benz,Bangalore,44414,Diesel,Automatic,3,17.9,2143.0,170.0,5.0,47243.22,8
Hyundai,Kolkata,1000,Petrol,Manual,3,18.9,1197.0,81.86,5.0,7225.43,5
Audi,Mumbai,62500,Diesel,Automatic,2,17.68,1968.0,174.33,5.0,21120.5,12
Volkswagen,Mumbai,21000,Petrol,Automatic,2,14.4,1598.0,103.6,5.0,4946.64,11
Mini,Jaipur,8525,Diesel,Automatic,2,16.6,1998.0,112.0,5.0,25566.92,7
Hyundai,Bangalore,29000,Diesel,Manual,3,22.54,1396.0,88.73,5.0,9281.9,10
Audi,Mumbai,40000,Diesel,Automatic,3,17.68,1968.0,174.33,5.0,25511.34,10
Chevrolet,Jaipur,88000,Diesel,Manual,3,25.44,936.0,57.6,5.0,1667.41,12
Skoda,Kochi,53537,Petrol,Automatic,3,13.7,1798.0,157.75,5.0,7658.96,12
Ford,Chennai,216000,Diesel,Manual,2,17.8,1399.0,68.0,5.0,1611.83,18
BMW,Hyderabad,51000,Diesel,Automatic,3,22.48,1995.0,190.0,5.0,37238.77,10
Chevrolet,Jaipur,118500,Petrol,Manual,3,12.9,1598.0,102.5,5.0,1389.51,17
Volkswagen,Hyderabad,63000,Diesel,Manual,3,22.07,1199.0,73.9,5.0,4668.74,12
Renault,Mumbai,25000,Diesel,Manual,3,19.98,1461.0,108.5,8.0,7503.33,9
Mercedes-Benz,Bangalore,37382,Diesel,Automatic,3,13.0,2143.0,201.1,5.0,35571.37,10
Maruti,Kochi,24773,Petrol,Manual,3,21.4,1197.0,83.1,5.0,8337.04,7
Hyundai,Delhi,62000,Diesel,Manual,3,22.32,1582.0,126.32,5.0,5113.38,12
Hyundai,Kochi,52340,Petrol,Manual,3,19.81,1086.0,68.05,5.0,4490.88,7
Mahindra,Kochi,56739,Diesel,Manual,3,15.4,1997.0,120.0,7.0,11460.65,8
Land,Coimbatore,36091,Diesel,Automatic,3,12.7,2179.0,187.7,5.0,61983.1,6
Ford,Chennai,120000,Diesel,Manual,3,20.0,1399.0,68.0,5.0,2890.17,14
Maruti,Mumbai,33000,Diesel,Manual,3,25.47,1248.0,88.5,7.0,9448.64,8
Honda,Kolkata,52000,Diesel,Manual,3,25.8,1498.0,98.6,5.0,3890.62,10
Hyundai,Jaipur,43571,Petrol,Manual,3,20.36,1197.0,78.9,5.0,3946.2,9
Honda,Kolkata,50000,Diesel,Manual,3,25.8,1498.0,98.6,5.0,3612.72,11
Skoda,Hyderabad,113000,Diesel,Manual,3,17.5,1896.0,106.0,5.0,5002.22,16
Renault,Delhi,90000,Diesel,Manual,3,19.87,1461.0,83.8,5.0,5947.09,10
Mahindra,Chennai,29000,Diesel,Manual,2,17.45,1493.0,100.0,7.0,7225.43,7
Maruti,Mumbai,20000,Diesel,Manual,3,24.3,1248.0,88.5,5.0,10004.45,8
Hyundai,Kochi,61012,Petrol,Manual,3,18.6,1197.0,81.83,5.0,6669.63,8
Skoda,Jaipur,87459,Petrol,Manual,3,14.7,1390.0,85.0,5.0,3056.91,15
Tata,Pune,70500,Petrol,Manual,3,15.64,1193.0,64.1,5.0,1667.41,14
Audi,Delhi,64103,Diesel,Automatic,3,15.73,1968.0,174.33,5.0,22120.94,9
Skoda,Mumbai,76000,Petrol,Automatic,3,14.7,1798.0,177.5,5.0,11116.05,10
Toyota,Delhi,104000,Diesel,Manual,3,23.59,1364.0,67.06,5.0,3334.82,10
Mercedes-Benz,Kochi,37245,Petrol,Automatic,3,14.8,1595.0,120.7,5.0,13294.8,10
Honda,Kolkata,45000,Diesel,Manual,3,27.4,1498.0,98.6,5.0,3612.72,11
Hyundai,Jaipur,117837,Diesel,Manual,2,22.32,1582.0,126.32,5.0,5280.12,12
Renault,Mumbai,30000,Diesel,Manual,3,20.46,1461.0,83.8,5.0,6614.05,10
Hyundai,Delhi,27057,Petrol,Manual,2,15.29,1591.0,121.3,5.0,9059.58,9
Maruti,Mumbai,8500,Petrol,Automatic,3,20.51,998.0,67.0,5.0,4690.97,8
Mercedes-Benz,Kolkata,30500,Petrol,Automatic,3,11.74,1796.0,186.0,5.0,11671.85,14
Audi,Delhi,56000,Diesel,Automatic,3,11.8,2967.0,246.7,5.0,50022.23,12
Hyundai,Pune,44000,Petrol,Manual,2,19.81,1086.0,68.05,5.0,3223.65,12
Skoda,Mumbai,10500,Petrol,Automatic,3,14.3,1598.0,103.52,5.0,9893.29,7
Skoda,Hyderabad,26000,Petrol,Automatic,3,14.67,1798.0,177.46,5.0,28901.73,7
Hyundai,Coimbatore,25166,Petrol,Manual,3,17.19,1197.0,81.86,5.0,9137.39,6
Honda,Kolkata,64000,Diesel,Manual,2,25.8,1498.0,98.6,5.0,3890.62,10
Maruti,Chennai,61000,Petrol,Manual,2,18.9,998.0,67.1,5.0,1389.51,20
Mahindra,Hyderabad,107000,Diesel,Manual,3,21.03,1461.0,65.0,5.0,4112.94,11
Mercedes-Benz,Coimbatore,29161,Diesel,Automatic,3,19.27,2143.0,167.62,5.0,43808.36,6
Maruti,Kolkata,32000,Petrol,Manual,3,22.5,998.0,67.04,5.0,2945.75,11
Nissan,Coimbatore,46173,Diesel,Manual,2,19.01,1461.0,108.5,5.0,9915.52,9
Mini,Kochi,26327,Petrol,Automatic,3,16.82,1998.0,189.08,4.0,39650.96,7
Tata,Jaipur,200000,Diesel,Manual,2,17.2,1396.0,53.5,5.0,944.86,17
Chevrolet,Kochi,60813,Petrol,Manual,2,18.6,1199.0,76.8,5.0,3690.53,8
Volkswagen,Mumbai,45000,Diesel,Manual,3,22.07,1199.0,73.9,5.0,4001.78,12
Maruti,Hyderabad,64000,Diesel,Manual,3,22.9,1248.0,74.0,5.0,7558.92,8
Ford,Kolkata,41284,Diesel,Manual,3,20.0,1399.0,68.05,5.0,2779.01,12
Toyota,Kochi,14165,Diesel,Automatic,3,11.36,2755.0,171.5,7.0,21831.93,5
Hyundai,Mumbai,67000,Diesel,Automatic,2,11.72,2199.0,194.3,7.0,7781.24,13
Honda,Kolkata,32572,Petrol,Manual,3,17.4,1497.0,117.3,5.0,4301.91,13
Hyundai,Kochi,14960,Petrol,Manual,3,18.6,1197.0,81.83,5.0,6969.76,6
Mercedes-Benz,Kochi,55980,Diesel,Automatic,3,19.27,2143.0,167.62,5.0,20142.29,9
Chevrolet,Mumbai,74000,Diesel,Manual,3,25.44,936.0,57.6,5.0,2945.75,11
Hyundai,Kochi,56847,Diesel,Manual,3,22.54,1396.0,88.73,5.0,8003.56,9
Toyota,Coimbatore,121374,Diesel,Manual,3,12.99,2494.0,100.6,7.0,15895.95,9
Maruti,Chennai,52000,Diesel,Manual,3,20.77,1248.0,88.76,7.0,7670.08,11
Toyota,Mumbai,118000,Diesel,Manual,3,12.8,2494.0,102.0,7.0,11949.76,10
Honda,Kochi,33915,Petrol,Manual,3,17.8,1497.0,117.3,5.0,8992.89,8
BMW,Ahmedabad,82002,Diesel,Automatic,3,17.05,1995.0,184.0,5.0,20564.7,10
Hyundai,Mumbai,33000,Diesel,Manual,3,24.0,1120.0,70.0,5.0,5280.12,7
Maruti,Chennai,34000,Diesel,Manual,3,28.09,1248.0,88.5,5.0,9393.06,8
Skoda,Kolkata,55000,Diesel,Manual,3,20.5,1598.0,103.6,5.0,3890.62,12
Hyundai,Kochi,160538,Diesel,Manual,3,13.1,1493.0,82.0,5.0,2000.89,18
Volkswagen,Jaipur,60000,Diesel,Manual,2,19.91,1498.0,103.6,5.0,4112.94,10
Honda,Coimbatore,49575,Petrol,Manual,3,18.7,1199.0,88.7,5.0,7970.21,7
Hyundai,Jaipur,83000,Petrol,Manual,3,19.81,1086.0,68.05,5.0,1945.31,14
Hyundai,Kochi,51346,Diesel,Automatic,3,16.38,1995.0,183.0,5.0,24444.2,6
Toyota,Pune,43000,Diesel,Manual,3,13.68,2393.0,147.8,7.0,20731.44,7
Maruti,Jaipur,35000,Petrol,Manual,1,19.7,796.0,35.0,5.0,2056.47,13
Maruti,Coimbatore,27872,Petrol,Manual,2,20.4,1197.0,81.8,5.0,6614.05,7
Hyundai,Mumbai,16514,Petrol,Manual,3,18.9,1197.0,82.0,5.0,4168.52,10
Maruti,Pune,120000,Diesel,Manual,3,22.9,1248.0,74.0,5.0,4168.52,12
Hyundai,Hyderabad,143275,Diesel,Manual,3,22.0,1582.0,126.2,5.0,2890.17,16
Hyundai,Mumbai,52000,Petrol,Manual,3,17.0,1197.0,80.0,5.0,3112.49,14
Mercedes-Benz,Coimbatore,29819,Diesel,Automatic,3,11.57,2987.0,254.79,5.0,68130.28,7
Mercedes-Benz,Bangalore,57000,Diesel,Manual,2,15.8,2148.0,170.0,5.0,20008.89,10
Maruti,Hyderabad,88500,Diesel,Manual,3,23.2,1248.0,73.94,5.0,4835.48,10
Hyundai,Bangalore,28000,Diesel,Manual,3,19.67,1582.0,126.2,5.0,15284.57,8
Maruti,Pune,67000,Petrol,Manual,3,19.0,998.0,66.1,5.0,2223.21,14
Renault,Delhi,26000,Diesel,Manual,3,19.64,1461.0,108.45,5.0,11116.05,8
Fiat,Delhi,120000,Diesel,Manual,3,17.8,1248.0,76.0,5.0,1834.15,14
BMW,Coimbatore,51982,Diesel,Automatic,3,16.55,2993.0,258.0,5.0,50878.17,7
Hyundai,Bangalore,36000,Petrol,Manual,2,20.36,1197.0,78.9,5.0,3612.72,14
Toyota,Pune,47000,Diesel,Manual,3,12.8,2494.0,102.0,7.0,14228.55,8
Maruti,Mumbai,60000,Petrol,Manual,1,17.3,993.0,60.0,5.0,611.38,22
Maruti,Hyderabad,31025,Diesel,Manual,3,28.4,1248.0,74.0,5.0,7947.98,6
Mahindra,Pune,105000,Diesel,Manual,2,12.05,2179.0,120.0,8.0,7781.24,11
Tata,Pune,121900,Diesel,Manual,3,22.95,1248.0,74.0,5.0,4168.52,7
Ford,Mumbai,22695,Petrol,Manual,3,18.88,999.0,123.24,5.0,9448.64,7
Maruti,Jaipur,73000,Diesel,Manual,3,23.4,1248.0,74.0,5.0,4835.48,12
Maruti,Kochi,32227,Petrol,Manual,3,22.74,796.0,47.3,5.0,3623.83,8
Honda,Jaipur,55000,Petrol,Manual,3,17.0,1497.0,118.0,5.0,4679.86,13
Audi,Kochi,11287,Diesel,Automatic,3,12.07,2967.0,241.4,7.0,78212.54,6
Skoda,Mumbai,48000,Diesel,Automatic,2,17.0,1896.0,105.0,5.0,3279.24,15
Hyundai,Kochi,54308,Petrol,Manual,3,17.1,1591.0,121.3,5.0,4757.67,12
Honda,Jaipur,78442,Petrol,Automatic,3,16.8,1497.0,118.0,5.0,3968.43,15
Hyundai,Kolkata,46000,Diesel,Manual,3,21.9,1396.0,88.8,5.0,3457.09,11
Hyundai,Coimbatore,45051,Petrol,Automatic,3,15.0,1396.0,98.6,5.0,6625.17,10
Volkswagen,Hyderabad,69000,Diesel,Manual,3,20.54,1598.0,103.6,5.0,5224.54,13
Honda,Ahmedabad,49000,Petrol,Manual,3,17.4,1497.0,117.3,5.0,7670.08,10
Tata,Pune,45000,Diesel,Manual,3,22.95,1248.0,74.0,5.0,5835.93,6
BMW,Pune,64000,Diesel,Automatic,3,18.48,1995.0,177.0,5.0,31124.94,9
Maruti,Delhi,60000,Petrol,Manual,3,18.9,1061.0,67.0,5.0,1500.67,15
Honda,Delhi,62178,Petrol,Manual,3,18.2,1199.0,88.7,5.0,5391.29,9
Volkswagen,Coimbatore,58006,Diesel,Manual,3,15.0,1896.0,105.0,5.0,7447.75,12
